"Abbrev","Stat Name","Description","Unit","Pctile Dir","Available In"
"%AST ATB3","% of Assists on Above Break 3s","The percentage of total assists that were assists on above the break 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%AST ATR2","% of Assists At The Rim","The percentage of total assists that were assists at the rim.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%AST RIM+3s","% of Assists At The Rim + on 3s","The percentage of total assists that were assists either at the rim or on 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP"
"%AST RIM+PAINT","% of Assists At The Rim + In The Paint","The percentage of total assists that were assists in the paint (including shots at the rim).","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP"
"%AST C3","% of Assists on Corner 3s","The percentage of total assists that were assists on corner 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%AST DUNK","% of Assists on Dunks","The percentage of total assists that were assists on dunks.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%AST PAINT2","% of Assists In The Paint","The percentage of total assists that were assists in the paint (not at the rim).","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%AST MID2","% of Assists In The Midrange","The percentage of total assists that were assists in the midrange.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%AST2","% of Assists on 2s","The percentage of total assists that were assists on made 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%AST3","% of Assists on 3s","The percentage of total assists that were assists on made 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"HC FREQ","% Frequency in Half Court","The percentage of the team's offensive chances that were marked as half court (as opposed to transition or putback) chances.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"TR FREQ","% Frequency in Transition","The percentage of the team's offensive chances that were marked as transition (as opposed to half court or putback) chances.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"PB FREQ","% Frequency on Putbacks","The percentage of the team's offensive chances that were marked as putback(as opposed to half court or transition ) chances.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
